UAL_promoter,Plate,Well,Strand,Reports_genes,Gene,Operon,Operon_name,Duplicated_reporting,Amplicons
ydaQ,10,D11,-1,ydaQ,ydaQ,NA,NA,NA,1
ydbC,15,C6,1,ydbC,ydbC,NA,NA,NA,1
ydbD,15,C7,1,ydbD,ydbD,NA,NA,NA,1
ydbH,12,D5,1,"ydbH,ynbE,ydbL",NA,"ydbH,ynbE,ydbL",ydbH-ynbE-ydbL,NA,1
ydcA,15,C12,1,ydcA,ydcA,NA,NA,NA,1
ydcF,15,C8,1,ydcF,ydcF,NA,NA,NA,1
ydcG,17,H10,1,opgD,opgD,NA,NA,NA,1
ydcI,16,F9,-1,ydcI,ydcI,NA,NA,NA,1
ydcJ,16,D10,1,ydcJ,ydcJ,NA,NA,NA,1
ydcK,13,H6,-1,ydcK,ydcK,NA,NA,NA,1
ydcL,15,C11,1,ydcL,ydcL,NA,NA,NA,1
ydcM,17,H11,1,insQ,insQ,NA,NA,NA,1
ydcR,17,H7,1,ydcR,ydcR,NA,NA,NA,1
ydcS,15,B8,1,"ydcS,ydcT,ydcU,ydcV,patD",NA,"ydcS,ydcT,ydcU,ydcV,patD",ydcSTUV-patD,NA,1
ydcX,15,D1,1,ydcX,ydcX,NA,NA,NA,1
yddA,14,C9,-1,"yddA,yddB",NA,"yddA,yddB",yddAB,NA,1
yddE,16,B9,-1,yddE,yddE,NA,NA,NA,1
yddH,13,A10,-1,yddH,yddH,NA,NA,NA,1
yddL,17,F6,-1,"yddL,yddK,yddJ",NA,"yddL,yddK,yddJ",yddLKJ,NA,1
yddM,16,B10,-1,yddM,yddM,NA,NA,NA,1
yddW,16,E11,-1,yddW,yddW,NA,NA,NA,1
ydeA,14,E3,1,ydeA,ydeA,NA,NA,NA,1
ydeI,13,A11,-1,ydeI,ydeI,NA,NA,NA,1
ydeJ,12,D7,1,ydeJ,ydeJ,NA,NA,NA,1
ydeO,12,B8,-1,ydeO,ydeO,NA,NA,NA,1
ydeP,12,C5,-1,ydeP,ydeP,NA,NA,NA,1
ydeQ,17,F7,-1,ydeQ,ydeQ,NA,NA,NA,1
ydeV,17,F8,-1,lsrK,lsrK,NA,NA,lsrK,1
ydfA,11,B3,1,"ydfA,ydfB,ydfC",NA,"ydfA,ydfB,ydfC",ydfABC,NA,1
ydfE,15,F2,1,ydfE,ydfE,NA,NA,NA,1
ydfH,6,F2,1,ydfH,ydfH,NA,NA,NA,1
ydfI,17,F11,-1,ydfI,ydfI,NA,NA,NA,1
ydfO,5,G10,1,"ynfO,ydfO",NA,"ynfO,ydfO",ynfO-ydfO,NA,1
ydfV,20,B12,1,ydfV,ydfV,NA,NA,NA,1
ydfZ,15,D4,1,ydfZ,ydfZ,NA,NA,NA,1
ydgA,15,F5,1,ydgA,ydgA,NA,NA,NA,1
ydgC,11,D2,-1,ydgC,ydgC,NA,NA,NA,1
ydgD,15,F4,1,"ydgD,ydgU","ydgD,ydgU",NA,NA,NA,1
ydgH,6,G7,1,ydgH,ydgH,NA,NA,NA,1
ydgI,6,E7,1,"ydgI,folM",NA,"ydgI,folM",ydgI-folM,NA,1
ydgK,15,F6,1,"ydgK,rsxA,rsxB,rsxC,rsxD,rsxG,rsxE,nth",NA,"ydgK,rsxA,rsxB,rsxC,rsxD,rsxG,rsxE,nth",ydgK-rsxABCDGE-nth,rsxA,1
