UAL_promoter,Plate,Well,Strand,Reports_genes,Gene,Operon,Operon_name,Duplicated_reporting,Amplicons
yncJ,16,B8,-1,yncJ,yncJ,NA,NA,NA,1
yneE,16,E12,-1,yneE,yneE,NA,NA,NA,1
yneF,17,F9,-1,dgcF,dgcF,NA,NA,NA,1
yneH,16,F1,-1,"yneH,yneG",NA,"yneH,yneG",yneHG,NA,1
yneI,2,H4,-1,sad,sad,NA,NA,NA,1
yneJ,3,A4,1,yneJ,yneJ,NA,NA,NA,1
yneK,13,B10,1,yneK,yneK,NA,NA,NA,1
ynfA,11,C12,-1,ynfA,ynfA,NA,NA,NA,1
ynfB,4,H3,1,"ynfB,speG",NA,"ynfB,speG",ynfB-speG,NA,1
ynfC,11,D1,-1,ynfC,ynfC,NA,NA,NA,1
ynfE,6,F4,1,"ynfE,ynfF,ynfG,ynfH,dmsD",NA,"ynfE,ynfF,ynfG,ynfH,dmsD",ynfEFGH-dmsD,NA,1
ynfK,7,A7,-1,ynfK,ynfK,NA,NA,ynfK,1
ynfL,16,D2,-1,ynfL,ynfL,NA,NA,NA,1
ynfM,15,H3,1,ynfM,ynfM,NA,NA,NA,1
yniA,16,E9,1,yniA,yniA,NA,NA,NA,1
yniC,10,F7,1,yniC,yniC,NA,NA,NA,1
ynjF,4,F6,-1,ynjF,ynjF,NA,NA,NA,1
yoaA,4,F9,-1,yoaA,yoaA,NA,NA,NA,1
yoaB,10,F12,1,yoaB,yoaB,NA,NA,NA,1
yoaD,21,A1,1,pdeD,pdeD,NA,NA,NA,1
yoaE,17,D10,-1,yoaE,yoaE,NA,NA,NA,1
yoaF,4,F8,-1,yoaF,yoaF,NA,NA,NA,1
yoaH,7,H5,-1,yoaH,yoaH,NA,NA,NA,1
yobF,11,B7,-1,"yobF,cspC",NA,"yobF,cspC",yobF-cspC,NA,1
yodB,5,B6,1,yodB,yodB,NA,NA,NA,1
yohC,10,D12,-1,yohC,yohC,NA,NA,NA,1
yohD,9,H10,1,yohD,yohD,NA,NA,NA,1
yohJ,9,H11,1,"yohJ,yohK",NA,"yohJ,yohK",yohJK,NA,1
yohL,4,F12,-1,rcnR,rcnR,NA,NA,NA,1
yohM,10,G3,1,"rcnA,rcnB",NA,"rcnA,rcnB",rcnAB,NA,1
yojI,14,D1,-1,yojI,yojI,NA,NA,NA,1
ypdA,3,A8,1,"ypdA,ypdB,ypdC",NA,"ypdA,ypdB,ypdC",ypdABC,NA,1
ypeA,19,B6,-1,"ypeA,yfeZ",NA,"ypeA,yfeZ",ypeA-yfeZ,NA,1
ypfG,10,D2,-1,ypfG,ypfG,NA,NA,NA,1
ypfH,10,D4,-1,ypfH,ypfH,NA,NA,NA,1
ypfJ,10,D5,-1,"ypfJ,tmcA",NA,"ypfJ,tmcA",ypfJ-tmcA,NA,1
yphF,14,H12,-1,"yphF,yphE,yphD",NA,"yphF,yphE,yphD",yphFED,NA,1
yphG,19,C12,-1,yphG,yphG,NA,NA,NA,1
yphH,19,D9,1,yphH,yphH,NA,NA,NA,1
ypjA,10,A7,-1,ypjA,ypjA,NA,NA,NA,1
ypjB,10,H12,NA,NA,NA,NA,NA,NA,NA
ypjD,13,E6,1,ypjD,ypjD,NA,NA,NA,1
yqaB,10,A9,-1,NA,NA,NA,NA,NA,3
yqaC,5,D3,1,NA,NA,NA,NA,NA,1
yqaD,17,C7,1,NA,NA,NA,NA,NA,1
yqaE,19,D3,-1,"yqaE,kbp",NA,"yqaE,kbp",yqaE-kbp,NA,1
yqcD,13,E7,1,queF,queF,NA,NA,NA,1
yqcE,19,E3,1,"yqcE,ygcE",NA,"yqcE,ygcE",yqcE-ygcE,NA,1
yqeG,16,G12,1,yqeG,yqeG,NA,NA,NA,1
yqeH,11,A10,1,yqeH,yqeH,NA,NA,NA,1
yqeI,5,D5,1,"yqeI,yqeJ",NA,"yqeI,yqeJ",yqeIJ,NA,1
yqeK,19,D7,-1,yqeK,yqeK,NA,NA,NA,1
yqfA,6,D11,-1,yqfA,yqfA,NA,NA,NA,1
yqgA,6,G10,1,yqgA,yqgA,NA,NA,NA,1
yqgD,5,F8,-1,yqgD,yqgD,NA,NA,NA,1
yqhH,16,B1,1,yqhH,yqhH,NA,NA,NA,1
yqiC,18,B7,1,yqiC,yqiC,NA,NA,NA,1
yqiJ,8,G11,1,"yqiJ,yqiK",NA,"yqiJ,yqiK",yqiJK,NA,1
yqjC,2,G11,1,"yqjC,yqjD,yqjE,yqjK",NA,"yqjC,yqjD,yqjE,yqjK",yqjCDEK,NA,1
yqjF,2,F2,1,yqjF,yqjF,NA,NA,NA,1
yqjG,2,F4,1,yqjG,yqjG,NA,NA,NA,1
yqjH,9,E1,-1,yqjH,yqjH,NA,NA,NA,1
yqjI,8,G6,1,yqjI,yqjI,NA,NA,NA,1
yraL,8,E9,-1,rsmI,rsmI,NA,NA,NA,1
yraM,7,H11,1,lpoA,lpoA,NA,NA,NA,1
yraQ,9,B10,-1,yraQ,yraQ,NA,NA,NA,1
yraR,8,E10,-1,yraR,yraR,NA,NA,NA,1
yrbA,12,C4,-1,"ibaG,murA",NA,"ibaG,murA",ibaG-murA,murA,1
yrbF,14,G12,-1,"mlaF,mlaE,mlaD,mlaC,mlaB",NA,"mlaF,mlaE,mlaD,mlaC,mlaB",mlaFEDCB,NA,1
yrbG,14,B11,1,"yrbG,kdsD,kdsC,lptC,lptA,lptB,rpoN,hpf,ptsN,rapZ,npr",NA,"yrbG,kdsD,kdsC,lptC,lptA,lptB,rpoN,hpf,ptsN,rapZ,npr",yrbG-kdsDC-lptCAB-rpoN-hpf-ptsN-rapZ-npr,NA,1
yrbL,3,C8,1,yrbL,yrbL,NA,NA,NA,1
yrfF,3,E6,1,yrfF,yrfF,NA,NA,NA,1
ysgA,5,F2,-1,ysgA,ysgA,NA,NA,NA,1
ytfB,9,F6,-1,ytfB,ytfB,NA,NA,NA,1
ytfE,3,H3,-1,ytfE,ytfE,NA,NA,NA,1
ytfF,3,H4,-1,ytfF,ytfF,NA,NA,NA,1
ytfI,18,G9,1,ytfI,ytfI,NA,NA,NA,1
ytfL,3,H5,-1,ytfL,ytfL,NA,NA,NA,1
ytfM,8,H10,1,"tamA,tamB,ytfP",NA,"tamA,tamB,ytfP",tamAB-ytfP,NA,1
ytfQ,15,E4,1,"ytfQ,ytfR,ytfT,yjfF",NA,"ytfQ,ytfR,ytfT,yjfF",ytfQRT-yjfF,ytfR,1
ytfR,14,E7,1,ytfR,ytfR,NA,NA,ytfR,1
ytjB,1,D12,-1,"ytjB,lplA",NA,"ytjB,lplA",ytjB-lplA,NA,1
yzgL,4,D6,-1,yzgL,yzgL,NA,NA,NA,1
zitB,14,H6,-1,zitB,zitB,NA,NA,NA,1
zntA,16,H10,1,zntA,zntA,NA,NA,NA,1
znuA,14,G10,-1,znuA,znuA,NA,NA,NA,1
znuC,14,B9,1,"znuC,znuB",NA,"znuC,znuB",znuCB,NA,1
zraP,4,B10,-1,zraP,zraP,NA,NA,NA,1
zraS,3,F11,1,"zraS,zraR",NA,"zraS,zraR",zraSR,NA,1
zupT,8,G4,1,zupT,zupT,NA,NA,NA,1
