"UAL_promoter","Strand","Reports_genes","Gene","Operon","Operon_name","Duplicated_reporting"
"glmU",-1,"glmU,glmS",NA,"glmU,glmS","glmUS",NA
"glnA",-1,"glnA,glnL,glnG",NA,"glnA,glnL,glnG","glnALG","glnL"
"glnB",-1,"glnB","glnB",NA,NA,NA
"glnH",-1,"glnH,glnP,glnQ",NA,"glnH,glnP,glnQ","glnHPQ",NA
"glnK",1,"glnK,amtB",NA,"glnK,amtB","glnK-amtB",NA
"glnL",-1,"glnL","glnL",NA,NA,"glnL"
"glnU",-1,"glnW","glnW",NA,NA,NA
"gloA",1,"gloA","gloA",NA,NA,NA
"glpA",1,"glpA,glpB,glpC",NA,"glpA,glpB,glpC","glpABC",NA
"glpD",1,"glpD","glpD",NA,NA,NA
"glpE",-1,"glpE,glpG,glpR",NA,"glpE,glpG,glpR","glpEGR",NA
"glpX",-1,"glpX","glpX",NA,NA,NA
"gltA",-1,"gltA","gltA",NA,NA,NA
"gltB",1,"gltB,gltD,gltF",NA,"gltB,gltD,gltF","gltBDF",NA
"gltJ",-1,"gltJ","gltJ",NA,NA,NA
"glxK",1,"glxK","glxK",NA,NA,"glxK"
"glyA",-1,"glyA","glyA",NA,NA,NA
"glyQ",-1,"glyQ,glyS,ysaB","ysaB","glyQ,glyS","glyQS",NA
"glyU",-1,"glyU","glyU",NA,NA,NA
"gmk",1,"gmk","gmk",NA,NA,NA
"gmr",-1,"pdeR","pdeR",NA,NA,NA
"gnd",-1,"gnd","gnd",NA,NA,NA
"gntK",-1,"gntK","gntK",NA,NA,"gntK"
"gntP",-1,"gntP","gntP",NA,NA,NA
"gntR",-1,"gntR,gntK,gntU",NA,"gntR,gntK,gntU","gntRKU","gntK"
"gntT",1,"gntT","gntT",NA,NA,NA
"gpp",-1,"gpp","gpp",NA,NA,NA
"gpt",1,"gpt","gpt",NA,NA,NA
"greA",-1,"greA","greA",NA,NA,NA
"greB",1,"greB","greB",NA,NA,NA
"grpE",-1,"grpE","grpE",NA,NA,NA
"grxA",-1,"grxA","grxA",NA,NA,NA
"grxB",-1,"grxB","grxB",NA,NA,NA
"grxC",-1,"grxC","grxC",NA,NA,NA
"gshA",-1,"gshA","gshA",NA,NA,NA
"gsk",1,"gsk","gsk",NA,NA,NA
"gst",1,"gstA","gstA",NA,NA,NA
"guaA",-1,"guaA","guaA",NA,NA,"guaA"
"guaB",-1,"guaB,guaA",NA,"guaB,guaA","guaBA","guaA"
"guaC",1,"guaC","guaC",NA,NA,NA
"gudP",-1,"gudP,gudX,gudD",NA,"gudP,gudX,gudD","gudPXD",NA
"gutM",1,"srlM","srlM",NA,NA,NA
"gyrB",-1,"gyrB","gyrB",NA,NA,NA
"hcaR",-1,"hcaR","hcaR",NA,NA,NA
"hcaT",-1,"hcaT","hcaT",NA,NA,NA
"hcp",-1,"hcp,hcr",NA,"hcp,hcr","hcp-hcr",NA
"hda",-1,"hda","hda",NA,NA,NA
"hdeA",-1,"hdeA,hdeB,yhiD",NA,"hdeA,hdeB,yhiD","hdeAB-yhiD","hdeB,yhiD"
"hdeB",-1,"hdeB","hdeB",NA,NA,"hdeB"
"hdeD",1,"hdeD","hdeD",NA,NA,NA
"hdfR",-1,"hdfR","hdfR",NA,NA,NA
"hdhA",-1,"hdhA","hdhA",NA,NA,NA
"helD",1,"helD","helD",NA,NA,NA
"hemA",1,"hemA,prfA,prmC",NA,"hemA,prfA,prmC","hemA-prfA-prmC",NA
"hemB",-1,"hemB","hemB",NA,NA,NA
"hemC",-1,"hemC,hemD,hemX,hemY",NA,"hemC,hemD,hemX,hemY","hemCDXY",NA
"hemG",1,"hemG","hemG",NA,NA,"hemG"
"hemH",1,"hemH","hemH",NA,NA,NA
"hemL",-1,"hemL","hemL",NA,NA,NA
"hemN",1,"hemN","hemN",NA,NA,NA
"hepA",-1,"rapA,rluA",NA,"rapA,rluA","rapA-rluA",NA
"hfq",1,"hfq","hfq",NA,NA,NA
"hipB",-1,"hipB,hipA",NA,"hipB,hipA","hipBA",NA
"hisJ",-1,"hisJ","hisJ",NA,NA,NA
"hisL",1,"hisL,hisG,hisD,hisC,hisB,hisH,hisA,hisF,hisI",NA,"hisL,hisG,hisD,hisC,hisB,hisH,hisA,hisF,hisI","hisLGDCBHAFI",NA
"hisQ",-1,"hisQ","hisQ",NA,NA,NA
"hisS",-1,"hisS","hisS",NA,NA,NA
"hlyE",-1,"hlyE","hlyE",NA,NA,NA
"hofM",-1,"hofM,hofN,hofO,hofP",NA,"hofM,hofN,hofO,hofP","hofMNOP",NA
"hrpA",1,"hrpA","hrpA",NA,NA,NA
"hrpB",1,"hrpB","hrpB",NA,NA,NA
"hscB",-1,"hscB,hscA,fdx,iscX",NA,"hscB,hscA,fdx,iscX","hscBA-fdx-iscX",NA
"hscC",-1,"hscC","hscC",NA,NA,NA
"hsdM",-1,"hsdM","hsdM",NA,NA,"hsdM"
"hsdR",-1,"hsdR,hsdM,hsdS",NA,"hsdR,hsdM,hsdS","hsdRMS","hsdM"
"hslJ",-1,"hslJ","hslJ",NA,NA,NA
"hslV",-1,"hslV,hslU",NA,"hslV,hslU","hslVU",NA
"htpG",1,"htpG","htpG",NA,NA,NA
"htpX",-1,"htpX","htpX",NA,NA,NA
"htrA",1,"degP","degP",NA,NA,NA
"htrL",-1,"htrL","htrL",NA,NA,NA
"hupA",1,"hupA","hupA",NA,NA,NA
"hupB",1,"hupB","hupB",NA,NA,NA
"hyaA",1,"hyaA,hyaB,hyaC,hyaD,hyaE,hyaF",NA,"hyaA,hyaB,hyaC,hyaD,hyaE,hyaF","hyaABCDEF",NA
"hybO",-1,"hybO,hybA,hybB,hybC,hybD,hybE,hybF,hybG",NA,"hybO,hybA,hybB,hybC,hybD,hybE,hybF,hybG","hybOABCDEFG",NA
"hycB",-1,"hycB","hycB",NA,NA,NA
"hydN",-1,"hydN,hypF",NA,"hydN,hypF","hydN-hypF",NA
"hyfR",1,"hyfR","hyfR",NA,NA,NA
"iaaA",1,"iaaA,gsiA,gsiB,gsiC,gsiD",NA,"iaaA,gsiA,gsiB,gsiC,gsiD","iaaA-gsiABCD",NA
"iap",1,"iap","iap",NA,NA,NA
"ibpB",-1,"ibpB","ibpB",NA,NA,NA
"icd",1,"icd","icd",NA,NA,NA
"idi",1,"idi","idi",NA,NA,NA
"idnK",1,"idnK","idnK",NA,NA,NA
"idnR",-1,"idnR","idnR",NA,NA,NA
"idnT",-1,"idnT","idnT",NA,NA,NA
"ihfB",1,"ihfB","ihfB",NA,NA,"ihfB"
"ileV",1,"ileT","ileT",NA,NA,"ileT"
"ileX",1,"ileX","ileX",NA,NA,NA
"ilvC",1,"ilvC","ilvC",NA,NA,NA
"ilvD",1,"ilvD","ilvD",NA,NA,"ilvD"
"ilvI",1,"ilvI,ilvH",NA,"ilvI,ilvH","ilvIH",NA
"ilvL",1,"ilvL,ilvX,ilvG_1,ilvG_2,ilvM,ilvE,ilvD,ilvA",NA,"ilvL,ilvX,ilvG_1,ilvG_2,ilvM,ilvE,ilvD,ilvA","ilvLXG_1G_2MEDA","ilvD"
"ilvY",-1,"ilvY","ilvY",NA,NA,NA
"imp",-1,"lptD,surA,pdxA,rsmA,apaG,apaH",NA,"lptD,surA,pdxA,rsmA,apaG,apaH","lptD-surA-pdxA-rsmA-apaGH",NA
"inaA",-1,"inaA","inaA",NA,NA,NA
"infA",-1,"infA","infA",NA,NA,NA
"insA_1",-1,"insA-1,insAB-1,insB-1",NA,"insA-1,insAB-1,insB-1","insAB-1A-1B-1",NA
"insA_2",-1,"insA-2,insAB-2,insB-2,afuB,afuC",NA,"insA-2,insAB-2,insB-2,afuB,afuC","insAB-2A-2B-2-afuBC",NA
"insA_3",-1,"insA-3,insAB-3,insB-3",NA,"insA-3,insAB-3,insB-3","insAB-3A-3B-3",NA
"insA_7",1,"insA","insA",NA,NA,NA
"insB_4",1,"insA-4,insAB-4,insB-4",NA,"insA-4,insAB-4,insB-4","insA-4AB-4B-4",NA
"intA",1,"intA","intA",NA,NA,NA
"intB",1,"intB","intB","intB","intB",NA
"intF",-1,"intF","intF",NA,NA,NA
"intS",1,"intS","intS",NA,NA,NA
"intZ",1,"intZ","intZ",NA,NA,NA
"iscR",-1,"iscR,iscS,iscU,iscA",NA,"iscR,iscS,iscU,iscA","iscRSUA","iscS"
"iscS",-1,"iscS","iscS",NA,NA,"iscS"
"ispB",1,"ispB","ispB",NA,NA,NA
"katE",1,"katE","katE",NA,NA,NA
"katG",1,"katG","katG",NA,NA,NA
"kbaZ",1,"kbaZ,agaV,agaW,agaA",NA,"kbaZ,agaV,agaW,agaA","kbaZ-agaVWA",NA
"kbl",-1,"kbl,tdh",NA,"kbl,tdh","kbl-tdh",NA
"kch",-1,"kch","kch",NA,NA,NA
"kdgR",-1,"kdgR","kdgR",NA,NA,NA
"kdsB",1,"kdsB","kdsB",NA,NA,NA
"kdtA",1,"waaA,coaD",NA,"waaA,coaD","waaA-coaD",NA
"kefF",1,"kefF,kefC",NA,"kefF,kefC","kefFC",NA
"kefG",-1,"kefG,kefB,yheV",NA,"kefG,kefB,yheV","kefGB-yheV",NA
"kil",-1,"kilR,ydaE",NA,"kilR,ydaE","kilR-ydaE",NA
"lacA",-1,"lacA","lacA",NA,NA,"lacA"
"lacI",-1,"lacI","lacI",NA,NA,"lacI"
"lacY",-1,"lacY","lacY",NA,NA,"lacY"
"lacZ",-1,"lacZ,lacY,lacA",NA,"lacZ,lacY,lacA","lacZYA","lacY,lacA"
"lctP",1,"lldP,lldR,lldD",NA,"lldP,lldR,lldD","lldPRD",NA
"ldhA",-1,"ldhA","ldhA",NA,NA,NA
"lepA",-1,"lepA,lepB",NA,"lepA,lepB","lepAB",NA
"leuA",-1,"leuA","leuA",NA,NA,NA
"leuS",-1,"leuS,lptE,holA,nadD,cobC",NA,"leuS,lptE,holA,nadD,cobC","leuS-lptE-holA-nadD-cobC",NA
"lexA",1,"lexA,dinF",NA,"lexA,dinF","lexA-dinF",NA
"lgt",-1,"lgt,thyA",NA,"lgt,thyA","lgt-thyA",NA
"ligA",-1,"ligA,ypeB",NA,"ligA,ypeB","ligA-ypeB",NA
"ligB",-1,"ligB","ligB",NA,NA,NA
"ligT",-1,"thpR","thpR",NA,NA,NA
"lipA",-1,"lipA","lipA",NA,NA,NA
"lipB",-1,"lipB","lipB",NA,NA,NA
"lit",1,"lit","lit",NA,NA,NA
"lolA",1,"lolA,rarA",NA,"lolA,rarA","lolA-rarA",NA
"lolB",-1,"lolB,ispE,prs",NA,"lolB,ispE,prs","lolB-ispE-prs",NA
"lolC",1,"lolC,lolD,lolE",NA,"lolC,lolD,lolE","lolCDE",NA
"lon",1,"lon","lon",NA,NA,"lon"
"lpd",1,"lpd","lpd",NA,NA,"lpd"
"lpp",1,"lpp","lpp",NA,NA,NA
"lpxC",1,"lpxC","lpxC",NA,NA,"lpxC"
"lpxP",1,"lpxP","lpxP",NA,NA,NA
"lsrR",-1,"lsrR,lsrK",NA,"lsrR,lsrK","lsrRK","lsrK"
"luxS",-1,"luxS","luxS",NA,NA,NA
"lysA",-1,"lysA","lysA",NA,NA,NA
"lysR",1,"lysR","lysR",NA,NA,NA
