"UAL_promoter","Plate","Well","Reports_genes"
"elaD","AZ05","C4","elaD"
"emrA","AZ13","G2","emrA"
"emrE","AZ13","F7","emrE"
"emrR","AZ02","D8","mprA,emrA,emrB"
"eno","AZ01","H2","eno"
"entC","AZ15","E3","entC,entE,entB,entA,entH"
"entD","AZ07","A4","entD"
"entS","AZ14","B6","entS"
"envY","AZ11","E5","envY,ompT"
"erfK","AZ04","E12","ldtA"
"eutB","AZ02","G7","eutB,eutC,eutL,eutK,eutR"
"eutN","AZ06","C9","eutN,eutE,eutJ,eutG"
"eutR","AZ12","B9","eutR"
"eutS","AZ10","D1","eutS,eutP,eutQ,eutT,eutD,eutM"
"evgA","AZ13","E5","evgA,evgS"
"exuR","AZ02","F8","exuR"
"fabF","AZ05","G8","fabF"
"fabR","AZ19","G12","fabR,yijD"
"fabZ","AZ05","H2","fabZ"
"fadB","AZ04","G10","fadB,fadA"
"fadE","AZ18","H12","fadE"
"fadI","AZ06","C2","fadI,fadJ"
"fadL","AZ16","G10","fadL"
"fdhD","AZ03","F9","fdhD"
"fdhF","AZ04","A5","fdhF"
"fdnG","AZ03","F2","fdnG,fdnH,fdnI"
"fdoG","AZ04","B9","fdoG,fdoH,fdoI,fdhE"
"fdrA","AZ13","D10","fdrA,ylbE,ylbF,ybcF"
"feaB","AZ03","D7","feaB"
"feaR","AZ03","D12","feaR"
"fecA","AZ17","A3","fecA,fecB,fecC,fecD,fecE"
"fecI","AZ18","B5","fecI,fecR"
"fepA","AZ16","G2","fepA,entD"
"fepB","AZ15","E9","fepB"
"fepD","AZ14","G7","fepD,fepG,fepC"
"fes","AZ16","E2","fes,ybdZ,entF,fepE"
"fhlA","AZ03","G7","fhlA"
"fhuA","AZ18","E6","fhuA,fhuC,fhuD,fhuB"
"fhuC","AZ14","E1","fhuC"
"fimD","AZ18","F2","fimD"
"fiu","AZ07","C4","fiu"
"fixC","AZ02","F6","fixC"
"fklB","AZ08","H9","fklB"
"fkpA","AZ09","E11","fkpA"
"fkpB","AZ09","D1","fkpB"
"fldA","AZ03","H10","fldA,uof,fur"
"fldB","AZ09","G3","fldB"
"flgA","AZ01","G10","flgA,flgM,flgN"
"flgB","AZ20","B8","flgB,flgC,flgD,flgE,flgF,flgG,flgH,flgI,flgJ"
"flgH","AZ05","G7","flgH"
"flgM","AZ20","B2","flgM"
"fliA","AZ20","G3","fliA,fliZ,tcyJ"
"fliC","AZ01","H10","fliC"
"fliE","AZ20","A10","fliE"
"fliF","AZ20","A6","fliF,fliG,fliH,fliI,fliJ,fliK"
"fliL","AZ20","D10","fliL,fliM,fliN,fliO,fliP,fliQ,fliR"
"flk","AZ04","H8","flk"
"focA","AZ16","A1","focA,pflB"
"folA","AZ07","E11","folA"
"folB","AZ05","F1","folB"
"folC","AZ07","A11","folC,dedD"
"folD","AZ07","G9","folD,ybcJ"
"folE","AZ07","H2","folE,yeiB"
"folX","AZ06","F1","folX,yfcH"
"fpr","AZ04","C8","fpr"
"frdA","AZ02","B5","frdA,frdB,frdC,frdD"
"frlA","AZ17","B5","frlA,frlB,frlC,frlD,frlR"
"frr","AZ09","D3","frr"
"fruB","AZ02","B8","fruB,fruK,fruA"
"fruL","AZ01","F8","cra"
"fryB","AZ06","C7","fryB,fryC,ypdF,ypdE,fryA"
"fsaA","AZ03","E12","fsaA"
"fsr","AZ16","D1","fsr"
"ftsH","AZ04","E1","ftsH"
"ftsJ","AZ11","E1","rlmE,ftsH"
"ftsK","AZ12","G9","ftsK"
"ftsN","AZ11","C8","ftsN"
"ftsQ","AZ15","G5","ftsQ"
"ftsY","AZ11","E2","ftsY,ftsE,ftsX"
"ftsZ","AZ20","A5","ftsZ"
"fucR","AZ03","D5","fucR"
"fumB","AZ02","H11","fumB"
"fxsA","AZ05","E4","fxsA"
"gadB","AZ06","A9","gadB,gadC"
"gadW","AZ02","D11","gadW"
"gadX","AZ12","F5","gadX"
"galE","AZ03","A11","galE,galT,galK,galM"
"galP","AZ20","H6","galP"
"galR","AZ03","D8","galR"
"galS","AZ03","B4","galS"
"galU","AZ03","D2","galU"
"garD","AZ20","C12","garD"
"gatY","AZ03","B3","gatY,gatZ,gatA,gatB,gatC,gatD"
"gcl","AZ06","F8","gcl,hyi,glxR,ybbW,allB,ybbY,glxK"
"gcvA","AZ06","B4","gcvA"
"gcvP","AZ06","B5","gcvP"
"gcvT","AZ04","C5","gcvT,gcvH,gcvP"
"ggt","AZ18","C7","ggt"
"ghrA","AZ08","A7","ghrA"
"glcB","AZ01","H4","glcB"
"glcC","AZ03","D10","glcC"
"glgB","AZ09","A11","glgB,glgX,glgC,glgA,glgP"
"glgS","AZ09","E8","glgS"
"glmU","AZ04","C7","glmU,glmS"
"glnA","AZ20","E2","glnA,glnL,glnG"
"glnB","AZ01","F1","glnB"
"glnH","AZ16","F4","glnH,glnP,glnQ"
"glnK","AZ06","F7","glnK,amtB"
"glnL","AZ01","F7","glnL"
"glnU","AZ08","F1","glnW"
"gloA","AZ06","G1","gloA"
"glpA","AZ16","G9","glpA,glpB,glpC"
"glpD","AZ03","F8","glpD"
"glpE","AZ04","B8","glpE,glpG,glpR"
"glpX","AZ02","E8","glpX"
"gltA","AZ02","C5","gltA"
"gltB","AZ20","F7","gltB,gltD,gltF"
"gltJ","AZ14","C4","gltJ"
"glxK","AZ01","G9","glxK"
"glyA","AZ01","E12","glyA"
"glyQ","AZ10","F4","glyQ,glyS,ysaB"
"glyU","AZ08","E1","glyU"
"gmk","AZ20","E9","gmk"
"gmr","AZ16","B2","pdeR"
"gnd","AZ01","G11","gnd"
"gntK","AZ17","E8","gntK"
"gntP","AZ16","D9","gntP"
"gntR","AZ01","H6","gntR,gntK,gntU"
"gntT","AZ16","H9","gntT"
"gpp","AZ20","E5","gpp"
"gpt","AZ10","G5","gpt"
"greA","AZ09","E9","greA"
"greB","AZ20","D11","greB"
"grpE","AZ17","G1","grpE"
"grxA","AZ18","C1","grxA"
"grxB","AZ17","E3","grxB"
"grxC","AZ17","E9","grxC"
"gshA","AZ17","E7","gshA"
"gsk","AZ05","D11","gsk"
"gst","AZ18","A7","gstA"
"guaA","AZ05","F11","guaA"
"guaB","AZ04","G6","guaB,guaA"
"guaC","AZ05","H10","guaC"
"gudP","AZ21","A4","gudP,gudX,gudD"
"gutM","AZ03","D3","srlM"
"gyrB","AZ20","A11","gyrB"
"hcaR","AZ03","E2","hcaR"
"hcaT","AZ16","F5","hcaT"
"hcp","AZ07","C7","hcp,hcr"
"hda","AZ10","D6","hda"
"hdeA","AZ19","A2","hdeA,hdeB,yhiD"
"hdeB","AZ02","D10","hdeB"
"hdeD","AZ18","C11","hdeD"
"hdfR","AZ09","F1","hdfR"
"hdhA","AZ06","A10","hdhA"
"helD","AZ10","A3","helD"
"hemA","AZ07","G3","hemA,prfA,prmC"
"hemB","AZ07","A3","hemB"
"hemC","AZ20","G1","hemC,hemD,hemX,hemY"
"hemG","AZ07","E7","hemG"
"hemH","AZ07","E12","hemH"
"hemL","AZ07","G8","hemL"
"hemN","AZ07","F7","hemN"
"hepA","AZ08","D6","rapA,rluA"
"hfq","AZ02","E12","hfq"
"hipB","AZ18","H4","hipB,hipA"
"hisJ","AZ14","H11","hisJ"
"hisL","AZ01","B1","hisL,hisG,hisD,hisC,hisB,hisH,hisA,hisF,hisI"
"hisQ","AZ14","D2","hisQ"
"hisS","AZ10","B10","hisS"
"hlyE","AZ20","F4","hlyE"
"hofM","AZ19","B7","hofM,hofN,hofO,hofP"
"hrpA","AZ09","G2","hrpA"
"hrpB","AZ10","A1","hrpB"
"hscB","AZ13","E12","hscB,hscA,fdx,iscX"
"hscC","AZ07","B9","hscC"
"hsdM","AZ09","H2","hsdM"
"hsdR","AZ04","G12","hsdR,hsdM,hsdS"
"hslJ","AZ11","C2","hslJ"
"hslV","AZ04","E2","hslV,hslU"
"htpG","AZ20","B9","htpG"
"htpX","AZ11","B11","htpX"
"htrA","AZ04","E10","degP"
"htrL","AZ19","B9","htrL"
"hupA","AZ10","C9","hupA"
"hupB","AZ10","C5","hupB"
"hyaA","AZ08","A6","hyaA,hyaB,hyaC,hyaD,hyaE,hyaF"
"hybO","AZ04","D2","hybO,hybA,hybB,hybC,hybD,hybE,hybF,hybG"
"hycB","AZ04","A4","hycB"
"hydN","AZ04","A3","hydN,hypF"
"hyfR","AZ05","C9","hyfR"
"iaaA","AZ07","G2","iaaA,gsiA,gsiB,gsiC,gsiD"
"iap","AZ08","H6","iap"
"ibpB","AZ11","C7","ibpB"
"icd","AZ01","H11","icd"
"idi","AZ11","B2","idi"
"idnK","AZ02","G4","idnK"
"idnR","AZ02","D9","idnR"
"idnT","AZ16","A6","idnT"
"ihfB","AZ20","B6","ihfB"
"ileV","AZ08","C2","ileT"
"ileX","AZ12","E4","ileX"
"ilvC","AZ01","C2","ilvC"
"ilvD","AZ12","H3","ilvD"
"ilvI","AZ01","A4","ilvI,ilvH"
"ilvL","AZ01","C1","ilvL,ilvX,ilvG_1,ilvG_2,ilvM,ilvE,ilvD,ilvA"
"ilvY","AZ01","D7","ilvY"
"imp","AZ11","D6","lptD,surA,pdxA,rsmA,apaG,apaH"
"inaA","AZ11","D10","inaA"
"infA","AZ08","H12","infA"
"insA_1","AZ13","G3","insA-1,insAB-1,insB-1"
"insA_2","AZ13","H2","insA-2,insAB-2,insB-2,afuB,afuC"
"insA_3","AZ12","A1","insA-3,insAB-3,insB-3"
"insA_7","AZ06","H6","insA"
"insB_4","AZ04","A2","insA-4,insAB-4,insB-4"
"intA","AZ02","D3","intA"
"intB","AZ02","F11","intB"
"intF","AZ07","A8","intF"
"intS","AZ05","C7","intS"
"intZ","AZ02","G2","intZ"
"iscR","AZ10","D9","iscR,iscS,iscU,iscA"
"iscS","AZ10","D8","iscS"
"ispB","AZ07","G5","ispB"
"katE","AZ13","E4","katE"
"katG","AZ20","D12","katG"
"kbaZ","AZ07","H7","kbaZ,agaV,agaW,agaA"
"kbl","AZ04","C6","kbl,tdh"
"kch","AZ17","F1","kch"
"kdgR","AZ16","D5","kdgR"
"kdsB","AZ14","B5","kdsB"
"kdtA","AZ08","H4","waaA,coaD"
"kefF","AZ18","A3","kefF,kefC"
"kefG","AZ14","H2","kefG,kefB,yheV"
"kil","AZ15","F12","kilR,ydaE"
"lacA","AZ21","A9","lacA"
"lacI","AZ20","H2","lacI"
"lacY","AZ15","H10","lacY"
"lacZ","AZ01","H1","lacZ,lacY,lacA"
"lacZ","AZ02","C8","lacZ,lacY,lacA"
"lacZ","AZ02","H1","lacZ,lacY,lacA"
"lacZ","AZ03","H1","lacZ,lacY,lacA"
"lacZ","AZ04","H1","lacZ,lacY,lacA"
"lacZ","AZ05","H1","lacZ,lacY,lacA"
"lacZ","AZ06","H1","lacZ,lacY,lacA"
"lacZ","AZ07","H1","lacZ,lacY,lacA"
"lacZ","AZ08","H1","lacZ,lacY,lacA"
"lacZ","AZ09","H1","lacZ,lacY,lacA"
"lacZ","AZ10","H1","lacZ,lacY,lacA"
"lacZ","AZ11","H1","lacZ,lacY,lacA"
"lacZ","AZ12","H1","lacZ,lacY,lacA"
"lacZ","AZ13","H1","lacZ,lacY,lacA"
"lacZ","AZ14","H1","lacZ,lacY,lacA"
"lacZ","AZ15","H1","lacZ,lacY,lacA"
"lacZ","AZ16","H1","lacZ,lacY,lacA"
"lacZ","AZ17","H1","lacZ,lacY,lacA"
"lacZ","AZ18","H1","lacZ,lacY,lacA"
"lacZ","AZ19","H1","lacZ,lacY,lacA"
"lacZ","AZ20","C1","lacZ,lacY,lacA"
"lacZ","AZ20","H1","lacZ,lacY,lacA"
"lctP","AZ16","H11","lldP,lldR,lldD"
"ldhA","AZ13","A9","ldhA"
"lepA","AZ09","A5","lepA,lepB"
"leuA","AZ20","F1","leuA"
"leuS","AZ02","B1","leuS,lptE,holA,nadD,cobC"
"lexA","AZ20","F11","lexA,dinF"
"lgt","AZ09","A7","lgt,thyA"
"ligA","AZ09","G11","ligA,ypeB"
"ligB","AZ20","E3","ligB"
"ligT","AZ10","E6","thpR"
"lipA","AZ07","A5","lipA"
"lipB","AZ07","A6","lipB"
"lit","AZ12","D2","lit"
"lolA","AZ13","F11","lolA,rarA"
"lolB","AZ07","G12","lolB,ispE,prs"
"lolC","AZ14","B7","lolC,lolD,lolE"
"lon","AZ20","G9","lon"
"lpd","AZ01","F9","lpd"
"lpp","AZ18","E8","lpp"
"lpxC","AZ09","D2","lpxC"
"lpxP","AZ09","G1","lpxP"
"lsrR","AZ17","D7","lsrR,lsrK"
"luxS","AZ06","D6","luxS"
"lysA","AZ01","D2","lysA"
"lysR","AZ01","B8","lysR"
"lysU","AZ10","C1","lysU"
"macA","AZ02","F12","macA,macB"
"maeB","AZ02","B4","maeB"
"malE","AZ01","F12","malE,malF,malG"
"malF","AZ20","B1","malF"
"malI","AZ20","H5","malI"
"malS","AZ10","G10","malS"
"malX","AZ20","G7","malX,malY"
"manX","AZ17","D1","manX,manY,manZ"
"manY","AZ17","B3","manY"
"map","AZ09","E2","map,glnD,dapD"
"marC","AZ13","H11","marC"
"marR","AZ13","E2","marR,marA,marB"
"mazE","AZ07","B12","mazE"
"mazG","AZ10","B1","mazG"
"mcrA","AZ07","B3","mcrA"
"mcrB","AZ04","E3","mcrB,mcrC"
"mdoB","AZ11","C11","opgB"
"mdtG","AZ16","A2","mdtG"
"mdtH","AZ20","A1","mdtH"
"mdtK","AZ15","H4","mdtK"
"mdtN","AZ03","B8","mdtN,mdtO,mdtP,ytcA"
"mdtO","AZ03","B7","mdtO"
"menD","AZ07","A9","menD"
"menF","AZ07","A10","menF,menD,menH,menB,menC,menE"
"metA","AZ01","C7","metA"
"metB","AZ01","C5","metB,metL"
"metC","AZ01","B9","metC"
"metE","AZ01","C4","metE"
"metF","AZ05","B2","metF"
"metG","AZ10","A4","metG"
"metJ","AZ01","D9","metJ"
"metK","AZ05","E7","metK"
"metR","AZ01","D8","metR"
"mfd","AZ10","B7","mfd"
"mglA","AZ14","C12","mglA"
"mglB","AZ14","H8","mglB,mglA,mglC"
"mgsA","AZ06","A8","mgsA"
"mhpR","AZ03","D11","mhpR,lacI"
"minC","AZ13","A7","minC,minD,minE"
"mipA","AZ19","B3","mipA"
"mlc","AZ17","A1","mlc,ynfK"
"mltC","AZ18","E11","mltC"
"mltD","AZ03","H9","mltD"
"mngR","AZ02","A10","mngR"
"mntR","AZ07","E8","mntR,ybiR"
"moaA","AZ07","G1","moaA,moaB,moaC,moaD,moaE"
"mobA","AZ07","H4","mobA,mobB"
"modF","AZ14","C6","modF"
"moeA","AZ07","G11","moeA,moeB"
"mog","AZ07","F8","mog"
"molR_2","AZ07","F5","molR_2"
"motA","AZ20","C2","motA,motB,cheA,cheW"
"mqo","AZ01","G12","mqo"
"mraZ","AZ11","H2","mraZ,rsmH,ftsL,ftsI,murE,murF,mraY,murD,ftsW,murG,murC,ddlB,ftsQ,ftsA,ftsZ,lpxC"
"mrcB","AZ18","E5","mrcB"
"mreC","AZ18","H11","mreC"
"mrp","AZ10","E11","mrp"
"mrr","AZ10","H3","mrr"
"msbB","AZ09","A3","lpxM"
"mscL","AZ16","H8","mscL"
"mscS","AZ06","E3","mscS"
"msrA","AZ09","F7","msrA"
"mtr","AZ17","A8","mtr"
"mug","AZ13","B9","mug"
"murA","AZ18","H9","murA"
"murB","AZ18","F1","murB,birA"
"murC","AZ18","E4","murC"
"mutH","AZ12","E2","mutH"
"mutM","AZ12","F6","mutM"
"mutS","AZ12","E1","mutS"
"mutT","AZ12","G6","mutT"
"mutY","AZ12","E3","mutY,yggX,mltC,nupG"
"mviN","AZ07","E2","murJ"
"nac","AZ08","F9","nac"
"nadC","AZ18","B11","nadC"
"nadK","AZ05","H9","nadK"
"nagA","AZ17","E2","nagA"
"nagB","AZ17","D9","nagB,nagA,nagC,umpH"
"nagE","AZ17","C12","nagE"
"nanA","AZ18","H10","nanA,nanT,nanE,nanK,yhcH"
"nanT","AZ16","F6","nanT"
"napF","AZ12","A7","napF,napD,napA,napG,napH,napB,napC,ccmA,ccmB,ccmC,ccmD,ccmE,ccmF,ccmG,ccmH"
"narQ","AZ03","F6","narQ"
"narU","AZ16","A3","narU"
"narX","AZ16","G3","narX,narL"
"narZ","AZ03","H12","narZ,narY,narW,narV"
"ndh","AZ03","G4","ndh"
"ndk","AZ20","D6","ndk"
